description
centuries ago mankind was slaughtered to near extinction by monstrous humanoid creatures called titans forcing humans to hide in fear behind enormous concentric walls what makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure to ensure their survival the remnants of humanity began living within defensive barriers resulting in one hundred years without a single titan encounter however that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall reigniting the fight for survival against the maneating abominations after witnessing a horrific personal loss at the hands of the invading creatures eren yeager dedicates his life to their eradication by enlisting into the survey corps an elite military unit that combats the merciless humanoids outside the protection of the walls eren his adopted sister mikasa ackerman and his childhood friend armin arlert join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached written by mal rewrite
brutal murders petty thefts and senseless violence pollute the human world in contrast the realm of death gods is a humdrum unchanging gambling den the ingenious 17yearold japanese student light yagami and sadistic god of death ryuk share one belief their worlds are rotten for his own amusement ryuk drops his death note into the human world light stumbles upon it deeming the first of its rules ridiculous the human whose name is written in this note shall die however the temptation is too great and light experiments by writing a felons name which disturbingly enacts his first murder aware of the terrifying godlike power that has fallen into his hands light—under the alias kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evildoers the meticulous mastermind detective l is already on his trail but as lights brilliance rivals ls the grand chase for kira turns into an intense battle of wits that can only end when one of them is dead written by mal rewrite
after a horrific alchemy experiment goes wrong in the elric household brothers edward and alphonse are left in a catastrophic new reality ignoring the alchemical principle banning human transmutation the boys attempted to bring their recently deceased mother back to life instead they suffered brutal personal loss alphonses body disintegrated while edward lost a leg and then sacrificed an arm to keep alphonses soul in the physical realm by binding it to a hulking suit of armor the brothers are rescued by their neighbor pinako rockbell and her granddaughter winry known as a biomechanical engineering prodigy winry creates prosthetic limbs for edward by utilizing automail a tough versatile metal used in robots and combat armor after years of training the elric brothers set off on a quest to restore their bodies by locating the philosophers stone—a powerful gem that allows an alchemist to defy the traditional laws of equivalent exchange as edward becomes an infamous alchemist and gains the nickname fullmetal the boys journey embroils them in a growing conspiracy that threatens the fate of the world written by mal rewrite
the seemingly unimpressive saitama has a rather unique hobby being a hero in order to pursue his childhood dream saitama relentlessly trained for three years losing all of his hair in the process now saitama is so powerful he can defeat any enemy with just one punch however having no one capable of matching his strength has led saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored one day saitama catches the attention of 19yearold cyborg genos who witnesses his power and wishes to become saitama’s disciple genos proposes that the two join the hero association in order to become certified heroes that will be recognized for their positive contributions to society saitama who is shocked that no one knows who he is quickly agrees meeting new allies and taking on new foes saitama embarks on a new journey as a member of the hero association to experience the excitement of battle he once felt written by mal rewrite
ever since the release of the innovative nervegear gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality sword art online sao one of the most recent games on the console offers a gateway into the wondrous world of aincrad a vivid medieval landscape where users can do anything within the limits of imagination with the release of this worldwide sensation gaming has never felt more lifelike however the idyllic fantasy rapidly becomes a brutal nightmare when saos creator traps thousands of players inside the game the logout function has been removed with the only method of escape involving beating all of aincrads one hundred increasingly difficult levels adding to the struggle any ingame death becomes permanent ending the players life in the real world while kazuto kirito kirigaya was fortunate enough to be a betatester for the game he quickly finds that despite his advantages he cannot overcome saos challenges alone teaming up with asuna yuuki and other talented players kirito makes an effort to face the seemingly insurmountable trials headon but with difficult bosses and threatening dark cults impeding his progress kirito finds that such tasks are much easier said than done written by mal rewrite
the appearance of quirks newly discovered super powers has been steadily increasing over the years with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting this leaves the remainder of the world completely powerless and izuku midoriya is one such individual since he was a child the ambitious middle schooler has wanted nothing more than to be a hero izukus unfair fate leaves him admiring heroes and taking notes on them whenever he can but it seems that his persistence has borne some fruit izuku meets the number one hero and his personal idol all might all mights quirk is a unique ability that can be inherited and he has chosen izuku to be his successor enduring many months of grueling training izuku enrolls in ua high a prestigious high school famous for its excellent hero training program and this years freshmen look especially promising with his bizarre but talented classmates and the looming threat of a villainous organization izuku will soon learn what it really means to be a hero written by mal rewrite
a sinister threat is invading tokyo flesheating ghouls who appear identical to humans and blend into their population reserved college student ken kaneki buries his nose in books and avoids the news of the growing crisis however the appearance of an attractive woman named rize kamishiro shatters his solitude when she forwardly asks him on a date while walking rize home kaneki discovers she isnt as kind as she first appeared and she has led him on with sinister intent after a tragic struggle he later awakens in a hospital to learn his life was saved by transplanting the now deceased rizes organs into his own body kanekis body begins to change in horrifying ways and he transforms into a humanghoul hybrid as he embarks on his new dreadful journey kaneki clings to his humanity in the evolving bloody conflict between societys new monsters and the government agents who hunt them written by mal rewrite
moments prior to naruto uzumakis birth a huge demon known as the kyuubi the ninetailed fox attacked konohagakure the hidden leaf village and wreaked havoc in order to put an end to the kyuubis rampage the leader of the village the fourth hokage sacrificed his life and sealed the monstrous beast inside the newborn naruto now naruto is a hyperactive and knuckleheaded ninja still living in konohagakure shunned because of the kyuubi inside him naruto struggles to find his place in the village while his burning desire to become the hokage of konohagakure leads him not only to some great new friends but also some deadly foes written by mal rewrite
ever since the death of his father the burden of supporting the family has fallen upon tanjirou kamados shoulders though living impoverished on a remote mountain the kamado family are able to enjoy a relatively peaceful and happy life one day tanjirou decides to go down to the local village to make a little money selling charcoal on his way back night falls forcing tanjirou to take shelter in the house of a strange man who warns him of the existence of flesheating demons that lurk in the woods at night when he finally arrives back home the next day he is met with a horrifying sight—his whole family has been slaughtered worse still the sole survivor is his sister nezuko who has been turned into a bloodthirsty demon consumed by rage and hatred tanjirou swears to avenge his family and stay by his only remaining sibling alongside the mysterious group calling themselves the demon slayer corps tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sisters humanity written by mal rewrite
hunters devote themselves to accomplishing hazardous tasks all from traversing the worlds uncharted territories to locating rare items and monsters before becoming a hunter one must pass the hunter examination—a highrisk selection process in which most applicants end up handicapped or worse deceased ambitious participants who challenge the notorious exam carry their own reason what drives 12yearold gon freecss is finding ging his father and a hunter himself believing that he will meet his father by becoming a hunter gon takes the first step to walk the same path during the hunter examination gon befriends the medical student leorio paladiknight the vindictive kurapika and exassassin killua zoldyck while their motives vastly differ from each other they band together for a common goal and begin to venture into a perilous world written by mal rewrite
mitsuha miyamizu a high school girl yearns to live the life of a boy in the bustling city of tokyo—a dream that stands in stark contrast to her present life in the countryside meanwhile in the city taki tachibana lives a busy life as a high school student while juggling his parttime job and hopes for a future in architecture one day mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in tokyo—but in takis body elsewhere taki finds himself living mitsuhas life in the humble countryside in pursuit of an answer to this strange phenomenon they begin to search for one another kimi no na wa revolves around mitsuha and takis actions which begin to have a dramatic impact on each others lives weaving them into a fabric held together by fate and circumstance written by mal rewrite
for centuries humanity has been hunted by giant mysterious predators known as the titans three mighty walls—wall maria rose and sheena—provided peace and protection for humanity for over a hundred years that peace however was shattered when the colossal titan and armored titan appeared and destroyed the outermost wall wall maria forced to retreat behind wall rose humanity waited with bated breath for the titans to reappear and destroy their safe haven once more in shingeki no kyojin season 2 eren yeager and others of the 104th training corps have just begun to become full members of the survey corps as they ready themselves to face the titans once again their preparations are interrupted by the invasion of wall rose—but all is not as it seems as more mysteries are unraveled as the survey corps races to save the wall they uncover more about the invading titans and the dark secrets of their own members written by mal rewrite
eccentric scientist rintarou okabe has a neverending thirst for scientific exploration together with his ditzy but wellmeaning friend mayuri shiina and his roommate itaru hashida rintarou founds the future gadget laboratory in the hopes of creating technological innovations that baffle the human psyche despite claims of grandeur the only notable gadget the trio have created is a microwave that has the mystifying power to turn bananas into green goo however when rintarou decides to attend neuroscientist kurisu makises conference on time travel he experiences a series of strange events that lead him to believe that there is more to the phone microwave gadget than meets the eye apparently able to send text messages into the past using the microwave rintarou dabbles further with the time machine attracting the ire and attention of the mysterious organization sern due to the novel discovery rintarou and his friends find themselves in an everpresent danger as he works to mitigate the damage his invention has caused to the timeline he is not only fighting a battle to save his loved ones but also one against his degrading sanity written by mal rewrite
at ua academy not even a violent attack can disrupt their most prestigious event the school sports festival renowned across japan this festival is an opportunity for aspiring heroes to showcase their abilities both to the public and potential recruiters however the path to glory is never easy especially for izuku midoriya—whose quirk possesses great raw power but is also cripplingly inefficient pitted against his talented classmates such as the fire and ice wielding shouto todoroki izuku must utilize his sharp wits and master his surroundings to achieve victory and prove to the world his worth written by mal rewrite
sixteen sentient races inhabit disboard a world overseen by tet the one true god the lowest of the sixteen—imanity—consists of humans a race with no affinity for magic in a place where everything is decided through simple games humankind seems to have no way out of their predicament—but the arrival of two outsiders poses a change on earth stepsiblings sora and shiro are two inseparable shutins who dominate various online games under the username blank while notorious on the internet the pair believe that life is merely another dull game however after responding to a message from an unknown user they are suddenly transported to disboard the mysterious sender turns out to be tet who informs them about the worlds absolute rules after tet leaves sora and shiro begin their search for more information and a place to stay taking them to elkia—imanitys only remaining kingdom there the duo encounters stephanie dola an emotional girl vying for the kingdoms sovereignty in desperation she attempts to regain her fathers throne but her foolhardiness makes her goal unachievable inspired by the girls motivation and passion sora and shiro decide to aid stephanie in getting elkia back on its feet ultimately aiming to become the new rulers of the enigmatic realm written by mal rewrite
it has been two and a half years since naruto uzumaki left konohagakure the hidden leaf village for intense training following events which fueled his desire to be stronger now akatsuki the mysterious organization of elite rogue ninja is closing in on their grand plan which may threaten the safety of the entire shinobi world although naruto is older and sinister events loom on the horizon he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home come whatever may naruto will carry on with the fight for what is important to him even at the expense of his own body in the continuation of the saga about the boy who wishes to become hokage written by mal rewrite
in the year 2010 the holy empire of britannia is establishing itself as a dominant military nation starting with the conquest of japan renamed to area 11 after its swift defeat japan has seen significant resistance against these tyrants in an attempt to regain independence lelouch lamperouge a britannian student unfortunately finds himself caught in a crossfire between the britannian and the area 11 rebel armed forces he is able to escape however thanks to the timely appearance of a mysterious girl named cc who bestows upon him geass the power of kings realizing the vast potential of his newfound power of absolute obedience lelouch embarks upon a perilous journey as the masked vigilante known as zero leading a merciless onslaught against britannia in order to get revenge once and for all written by mal rewrite
still threatened by the titans that rob them of their freedom mankind remains caged inside the two remaining walls efforts to eradicate these monsters continue however threats arise not only from the titans beyond the walls but from the humans within them as well after being rescued from the colossal and armored titans eren yaeger devotes himself to improving his titan form krista lenz struggles to accept the loss of her friend captain levi chooses eren and his friends to form his new personal squad and commander erwin smith recovers from his injuries all seems well for the soldiers until the government suddenly demands custody of eren and krista the survey corps recent successes have drawn attention and a familiar face from levis past is sent to collect the wanted soldiers sought after by the government levi and his new squad must evade their adversaries in hopes of keeping eren and krista safe in shingeki no kyojin season 3 eren and his fellow soldiers are not only fighting for their survival against the terrifying titans but also against the terror of a far more conniving foe humans written by mal rewrite
as a wild youth elementary school student shouya ishida sought to beat boredom in the cruelest ways when the deaf shouko nishimiya transfers into his class shouya and the rest of his class thoughtlessly bully her for fun however when her mother notifies the school he is singled out and blamed for everything done to her with shouko transferring out of the school shouya is left at the mercy of his classmates he is heartlessly ostracized all throughout elementary and middle school while teachers turn a blind eye now in his third year of high school shouya is still plagued by his wrongdoings as a young boy sincerely regretting his past actions he sets out on a journey of redemption to meet shouko once more and make amends koe no katachi tells the heartwarming tale of shouyas reunion with shouko and his honest attempts to redeem himself all while being continually haunted by the shadows of his past written by mal rewrite
