Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
12,Finished Airing,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance",PG-13 - Teens 13 or older,7.23,2847,229,711875,1932,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['Crunchyroll', 'HIDIVE']"
12,Finished Airing,Wit Studio,"Action, Drama, Supernatural",R - 17+ (violence & profanity),7.62,1296,230,711376,2794,Owari no Seraph: Nagoya Kessen-hen,
20,Finished Airing,Brain's Base,"Adventure, Drama, Supernatural",R - 17+ (violence & profanity),8.38,177,231,709165,12122,Fumetsu no Anata e,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Studio Deen,Genre: Comedy,PG-13 - Teens 13 or older,7.56,1489,232,699224,2423,Sakamoto Desu ga?,"['HIDIVE', 'Shahid']"
25,Finished Airing,TMS Entertainment,"Drama, Fantasy, Romance",PG-13 - Teens 13 or older,8.22,304,233,696610,13517,Fruits Basket 1st Season,"['Crunchyroll', 'Funimation']"
12,Finished Airing,OLM,Genre: Comedy,PG-13 - Teens 13 or older,8.0,571,234,694029,11083,"Komi-san wa, Comyushou desu.",['Netflix']
12,Finished Airing,A-1 Pictures,"Action, Fantasy",PG-13 - Teens 13 or older,7.36,2204,235,689760,1511,Ao no Exorcist: Kyoto Fujouou-hen,['Crunchyroll']
12,Finished Airing,MAPPA,"Drama, Mystery",R - 17+ (violence & profanity),7.2,2995,236,687578,1885,Kakegurui××,
11,Finished Airing,Shaft,"Comedy, Mystery, Supernatural, Ecchi",R - 17+ (violence & profanity),8.15,374,237,686286,3795,Nisemonogatari,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Lerche,"Comedy, Fantasy, Romance, Ecchi",R+ - Mild Nudity,6.99,3985,238,684929,3733,Monster Musume no Iru Nichijou,['HIDIVE']
25,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.31,231,239,682981,4861,Kuroko no Basket 3rd Season,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.54,93,240,681283,5670,Haikyuu!! To the Top Part 2,['Crunchyroll']
12,Finished Airing,Kyoto Animation,"Comedy, Romance",PG-13 - Teens 13 or older,7.55,1523,241,679586,2431,Chuunibyou demo Koi ga Shitai! Ren,['HIDIVE']
12,Finished Airing,Trigger,"Drama, Romance, Sci-Fi",PG-13 - Teens 13 or older,7.39,2074,242,677389,4708,Kiznaiver,['Crunchyroll']
24,Finished Airing,Sunrise,"Action, Romance, Sci-Fi",PG-13 - Teens 13 or older,7.24,2765,243,675731,3824,Accel World,"['Crunchyroll', 'Funimation']"
26,Finished Airing,Madhouse,"Action, Adventure, Comedy, Drama, Sci-Fi",PG-13 - Teens 13 or older,8.22,310,244,674863,13633,Trigun,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Telecom Animation Film,Genre: Comedy,PG-13 - Teens 13 or older,7.36,2217,245,667745,8294,"Ijiranaide, Nagatoro-san","['Crunchyroll', 'Anime Digital Network']"
24,Finished Airing,Gonzo,"Comedy, Drama, Romance",R+ - Mild Nudity,8.32,220,246,665988,24006,NHK ni Youkoso!,['Funimation']
12,Finished Airing,Zero-G,Genre: Comedy,PG-13 - Teens 13 or older,8.43,149,247,664536,16869,Grand Blue,
12,Finished Airing,A-1 Pictures,"Action, Adventure, Drama, Fantasy",PG-13 - Teens 13 or older,7.65,1218,248,663542,5649,Hai to Gensou no Grimgar,"['Crunchyroll', 'Netflix']"
1,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,7.58,1420,249,661993,1329,Boku no Hero Academia the Movie 1: Futari no Hero,"['Crunchyroll', 'Netflix']"
1,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",R+ - Mild Nudity,7.57,1452,250,661050,3387,Sword Art Online Movie: Ordinal Scale,"['Crunchyroll', 'Netflix']"
1,Finished Airing,J.C.Staff,"Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,8.46,129,251,660895,4414,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,['Crunchyroll']
12,Finished Airing,A-1 Pictures,"Comedy, Drama, Romance, Ecchi",PG-13 - Teens 13 or older,6.38,7095,252,660714,2673,Eromanga-sensei,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Gonzo,"Action, Horror, Supernatural",R - 17+ (violence & profanity),7.49,1725,253,659931,5596,Hellsing,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Triangle Staff,"Avant Garde, Drama, Mystery, Sci-Fi, Supernatural",R - 17+ (violence & profanity),8.07,473,254,659302,22999,Serial Experiments Lain,"['Crunchyroll', 'Funimation']"
4,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.0,3963,255,654733,767,Nanatsu no Taizai: Seisen no Shirushi,
12,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",R - 17+ (violence & profanity),7.58,1402,256,654669,3374,Sword Art Online: Alicization - War of Underworld,['Crunchyroll']
12,Finished Airing,Studio Gokumi,"Comedy, Romance",PG-13 - Teens 13 or older,7.58,1406,257,654197,2552,Tsurezure Children,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Diomedéa,"Drama, Romance",R+ - Mild Nudity,6.69,5373,258,651274,5299,Domestic na Kanojo,"['Crunchyroll', 'HIDIVE']"
12,Finished Airing,CloverWorks,"Drama, Fantasy",R - 17+ (violence & profanity),7.69,1138,259,651006,8433,Wonder Egg Priority,"['Crunchyroll', 'Funimation']"
12,Finished Airing,J.C.Staff,"Gourmet, Ecchi",PG-13 - Teens 13 or older,7.98,591,260,650393,1387,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"['Crunchyroll', 'Netflix']"
103,Finished Airing,TMS Entertainment,"Action, Adventure, Comedy",PG-13 - Teens 13 or older,8.02,534,261,649775,13285,D.Gray-man,"['Crunchyroll', 'Funimation']"
