Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,Genre,Studio
12,Finished Airing,R - 17+ (violence & profanity),6.4,7007,207,737219,2485,Tokyo Ghoul:re 2nd Season,Action,PierrotPlus
12,Finished Airing,R - 17+ (violence & profanity),6.4,7007,207,737219,2485,Tokyo Ghoul:re 2nd Season,Fantasy,Pierrot
12,Finished Airing,R - 17+ (violence & profanity),6.4,7007,207,737219,2485,Tokyo Ghoul:re 2nd Season,Fantasy,PierrotPlus
12,Finished Airing,R - 17+ (violence & profanity),6.4,7007,207,737219,2485,Tokyo Ghoul:re 2nd Season,Horror,Pierrot
12,Finished Airing,R - 17+ (violence & profanity),6.4,7007,207,737219,2485,Tokyo Ghoul:re 2nd Season,Horror,PierrotPlus
1,Finished Airing,G - All Ages,8.31,230,208,735581,9541,Hotarubi no Mori e,Drama,Brain'sBase
1,Finished Airing,G - All Ages,8.31,230,208,735581,9541,Hotarubi no Mori e,Romance,Brain'sBase
1,Finished Airing,G - All Ages,8.31,230,208,735581,9541,Hotarubi no Mori e,Supernatural,Brain'sBase
12,Finished Airing,R - 17+ (violence & profanity),7.88,736,209,735611,8950,Beastars,Drama,Orange
12,Finished Airing,R - 17+ (violence & profanity),7.88,736,209,735611,8950,Beastars,SliceofLife,Orange
12,Finished Airing,PG-13 - Teens 13 or older,7.34,2272,210,733957,9211,Free!,Sports,KyotoAnimation
12,Finished Airing,PG-13 - Teens 13 or older,7.34,2272,210,733957,9211,Free!,Sports,AnimationDo
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,Action,Gainax
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,Action,ProductionI.G
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,AvantGarde,Gainax
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,AvantGarde,ProductionI.G
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,Comedy,Gainax
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,Comedy,ProductionI.G
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,Sci-Fi,Gainax
6,Finished Airing,PG-13 - Teens 13 or older,8.03,528,211,733659,26844,FLCL,Sci-Fi,ProductionI.G
1,Finished Airing,R+ - Mild Nudity,8.16,363,212,731867,11550,Akira,Action,TokyoMovieShinsha
1,Finished Airing,R+ - Mild Nudity,8.16,363,212,731867,11550,Akira,Adventure,TokyoMovieShinsha
1,Finished Airing,R+ - Mild Nudity,8.16,363,212,731867,11550,Akira,Horror,TokyoMovieShinsha
