Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,Genre,Studio
12,Finished Airing,R - 17+ (violence & profanity),7.71,1077,262,635187,8313,Wonder Egg Priority,Drama,CloverWorks
12,Finished Airing,R - 17+ (violence & profanity),7.71,1077,262,635187,8313,Wonder Egg Priority,Fantasy,CloverWorks
10,Finished Airing,PG-13 - Teens 13 or older,7.27,2641,263,635031,1948,Blood Lad,Action,Brain'sBase
10,Finished Airing,PG-13 - Teens 13 or older,7.27,2641,263,635031,1948,Blood Lad,Comedy,Brain'sBase
10,Finished Airing,PG-13 - Teens 13 or older,7.27,2641,263,635031,1948,Blood Lad,Supernatural,Brain'sBase
12,Finished Airing,R - 17+ (violence & profanity),7.15,3240,264,631686,3022,Rokudenashi Majutsu Koushi to Akashic Records,Action,LIDENFILMS
12,Finished Airing,R - 17+ (violence & profanity),7.15,3240,264,631686,3022,Rokudenashi Majutsu Koushi to Akashic Records,Fantasy,LIDENFILMS
13,Finished Airing,R+ - Mild Nudity,6.77,4959,265,631453,3252,Rosario to Vampire,Comedy,Gonzo
13,Finished Airing,R+ - Mild Nudity,6.77,4959,265,631453,3252,Rosario to Vampire,Fantasy,Gonzo
13,Finished Airing,R+ - Mild Nudity,6.77,4959,265,631453,3252,Rosario to Vampire,Romance,Gonzo
13,Finished Airing,R+ - Mild Nudity,6.77,4959,265,631453,3252,Rosario to Vampire,Ecchi,Gonzo
24,Finished Airing,PG-13 - Teens 13 or older,6.45,6679,266,630685,1339,Nanatsu no Taizai: Kamigami no Gekirin,Action,StudioDeen
24,Finished Airing,PG-13 - Teens 13 or older,6.45,6679,266,630685,1339,Nanatsu no Taizai: Kamigami no Gekirin,Adventure,StudioDeen
24,Finished Airing,PG-13 - Teens 13 or older,6.45,6679,266,630685,1339,Nanatsu no Taizai: Kamigami no Gekirin,Fantasy,StudioDeen
24,Finished Airing,PG-13 - Teens 13 or older,6.45,6679,266,630685,1339,Nanatsu no Taizai: Kamigami no Gekirin,Supernatural,StudioDeen
12,Finished Airing,PG-13 - Teens 13 or older,7.36,2200,267,630294,1748,Nisekoi:,Comedy,Shaft
