Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP,Genre,Studio
27,Finished Airing,PG-13 - Teens 13 or older,8.63,69,61,1474677,73174,Tengen Toppa Gurren Lagann,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy', 'sci-fi']",['gainax']
12,Finished Airing,R - 17+ (violence & profanity),7.47,1780,62,1463988,5834,One Punch Man 2nd Season,['crunchyroll'],"['action', 'comedy']",['j.c.staff']
24,Finished Airing,PG-13 - Teens 13 or older,7.23,2840,63,1459109,29526,Darling in the FranXX,"['crunchyroll', 'funimation']","['action', 'drama', 'romance', 'sci-fi']","['a-1pictures', 'trigger', 'cloverworks']"
26,Finished Airing,R - 17+ (violence & profanity),7.91,685,64,1452808,33938,JoJo no Kimyou na Bouken (TV),"['crunchyroll', 'netflix']","['action', 'adventure', 'supernatural']",['davidproduction']
13,Finished Airing,PG-13 - Teens 13 or older,7.75,974,65,1442121,21142,Charlotte,"['crunchyroll', 'funimation']",['genre:drama'],['p.a.works']
13,Finished Airing,PG-13 - Teens 13 or older,7.77,939,66,1414302,10895,Hataraku Maou-sama!,"['crunchyroll', 'funimation']","['comedy', 'fantasy', 'romance', 'supernatural']",['whitefox']
13,Finished Airing,R+ - Mild Nudity,7.5,1676,67,1403457,22817,Elfen Lied,['hidive'],"['action', 'drama', 'horror', 'romance', 'supernatural']","['arms', 'studioguts']"
170,Finished Airing,PG-13 - Teens 13 or older,8.13,404,68,1398350,39289,Black Clover,"['crunchyroll', 'funimation']","['action', 'comedy', 'fantasy']",['pierrot']
13,Finished Airing,R - 17+ (violence & profanity),7.92,665,69,1396971,23172,Overlord,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy', 'supernatural']",['madhouse']
13,Finished Airing,PG-13 - Teens 13 or older,7.56,1464,70,1380893,11076,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"['hidive', 'netflix']","['action', 'adventure', 'comedy', 'fantasy', 'romance']",['j.c.staff']
