Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
1,Finished Airing,CoMix Wave Films,"Drama, Romance, Slice of Life",PG-13 - Teens 13 or older,7.91,689,192,"775,169","6,518",Kotonoha no Niwa,"['HIDIVE', 'Netflix']"
25,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.23,301,193,"772,049","4,232",Kuroko no Basket 2nd Season,['Crunchyroll']
Unknown,Currently Airing,Pierrot,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,5.79,10003,194,"770,205","6,666",Boruto: Naruto Next Generations,"['Crunchyroll', 'Netflix']"
12,Finished Airing,8bit,"Action, Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,8.40,167,195,"768,769","9,814",Tensei shitara Slime Datta Ken 2nd Season,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Seven Arcs Pictures,"Action, Comedy, Fantasy, Romance, Supernatural, Ecchi",PG-13 - Teens 13 or older,7.08,3569,196,"767,283","3,685",Trinity Seven,"['Crunchyroll', 'HIDIVE']"
24,Finished Airing,Pierrot,"Action, Adventure, Comedy, Fantasy, Romance",PG-13 - Teens 13 or older,8.03,519,197,"766,210","14,672",Akatsuki no Yona,"['Crunchyroll', 'Funimation']"
12,Finished Airing,SILVER LINK.,"Comedy, Romance",PG-13 - Teens 13 or older,6.74,5136,198,"761,801","2,952",Masamune-kun no Revenge,['Crunchyroll']
13,Finished Airing,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",PG-13 - Teens 13 or older,7.25,2738,199,"761,305","7,648",Zero no Tsukaima,"['Crunchyroll', 'Netflix']"
12,Finished Airing,"Pierrot, Pierrot Plus","Action, Fantasy, Horror",R - 17+ (violence & profanity),6.41,6973,200,"756,893","2,535",Tokyo Ghoul:re 2nd Season,"['Crunchyroll', 'Shahid']"
12,Finished Airing,AIC Build,"Comedy, Romance, Ecchi",R+ - Mild Nudity,7.18,3110,201,"755,422","3,674",Boku wa Tomodachi ga Sukunai,"['Crunchyroll', 'Funimation']"
26,Finished Airing,Artland,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",PG-13 - Teens 13 or older,8.67,56,202,"754,589","24,950",Mushishi,"['Funimation', 'Tubi TV']"
24,Finished Airing,J.C.Staff,"Action, Sci-Fi",R - 17+ (violence & profanity),7.37,2176,203,"753,603","5,324",Toaru Majutsu no Index,"['Crunchyroll', 'Funimation']"
